commit_hash,exclusion_reasons,nixpkgs_target_bump
0f3686ea4a33671d37c51e72860a03950596cc2e,no_fetchers_found,e57b3b16ad8758fd681511a078f35c416a8cc939
82a076931830d1e04a93e310a90b7d2892362c93,version_missing,d33e926c80e6521a55da380a4c4c44a7462af405
ec67179301f61cc095578cf9ee822dc1cfc1f4e0,version_missing,cab778239e705082fe97bb4990e0d24c50924c04
