commit_hash,package_name,fully_qualified_name,pname,version,fetcher,nixpkgs_target_bump,exclusion_reason
5d4760c8bb8f3a0eb5dc95c54da6455b630c5b7d,systemd-credsubst,systemd-credsubst,systemd-credsubst,0.1.0,"fetchFromGitHub {
    owner = ""yaxitech"";
    repo = ""systemd-credsubst"";
    tag = ""v${version}"";
    hash = ""sha256-3KbO93OWJuiV8oYLSlqaj0i2x/2GwGxfQ7QwwSrfb1Y="";
  }",de69d2ba6c70e747320df9c096523b623d3a4c35,contains_nix_code
6e978ef038fd84b97a83bed721ccdc7f8c1a1d5e,nixbit,nixbit,nixbit,0.1.5,"fetchFromGitHub {
    owner = ""pbek"";
    repo = ""nixbit"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-DpjLPvmn61rEn6ui8cFfqeZEPYGyCUVVP/V7mQw1l5Y="";
  }",01b6809f7f9d1183a2b3e081f0a1e6f8f415cb09,contains_nix_code
ec212ce238feb98f60925abebb1ded418ca38245,vicinae,vicinae,vicinae,0.15.5,"fetchFromGitHub {
    owner = ""vicinaehq"";
    repo = ""vicinae"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-3pKexTUWfohL/S/yWsVMShmtMlBFI9zsd7NFzySKG0w="";
  }",c12c63cd6c5eb34c7b4c3076c6a99e00fcab86ec,contains_nix_code
37bcb08fa8a3a6b0bcaad3c109d2ec9ad829811d,stasis,stasis,stasis,0.5.0,"fetchFromGitHub {
    owner = ""saltnpepper97"";
    repo = ""stasis"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-gJB/y6jSBJZjBTQB9sxbVpllSfF6jwKOEeLqlgIStMA="";
  }",02f2cb8e0feb4596d20cc52fda73ccee960e3538,contains_nix_code
3fbc67c715303e209fff85e52c0ecce9c94f781e,iio-niri,iio-niri,iio-niri,1.2.1,"fetchFromGitHub {
    owner = ""Zhaith-Izaliel"";
    repo = ""iio-niri"";
    tag = ""v${version}"";
    hash = ""sha256-IOMJ1xtjUkUoUgFZ9pxBf5XKdaUHu3WbUH5TlEiNRc4="";
  }",cb82756ecc37fa623f8cf3e88854f9bf7f64af93,contains_nix_code
a60f412cc6d82e2abbf0558ff9bb6326e6865e35,gdscript-formatter,gdscript-formatter,gdscript-formatter,0.14.0,"fetchFromGitHub {
    owner = ""GDQuest"";
    repo = ""GDScript-formatter"";
    tag = finalAttrs.version;
    hash = ""sha256-cY6Ow1f8o40M9/knneAod8ABj7ObQAkzs3yODMpkCxQ="";
    # Needed due to .gitattributes being used for the Godot addon and export-ignoring all files
    deepClone = true;
  }",e57b3b16ad8758fd681511a078f35c416a8cc939,contains_nix_code
8a9fa0f5e3d37ec8330d175bdf384949ffff69b7,iocaine,iocaine,iocaine,2.5.1,"fetchFromGitea {
    domain = ""git.madhouse-project.org"";
    owner = ""iocaine"";
    repo = ""iocaine"";
    tag = ""iocaine-${version}"";
    hash = ""sha256-213QLpGBKSsT9r8O27PyMom5+OGPz0VtRBevxswISZA="";
  }",ca77296380960cd497a765102eeb1356eb80fed0,contains_nix_code
beceaec1c1046bfdcf215dbaada17d5ec9183e02,icesprog,icesprog,icesprog,1.1b,"fetchFromGitHub {
    owner = ""wuxx"";
    repo = ""icesugar"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-LGmT+GEZvo0oxmr2kMfSztutnguPpNt2QJfVyBJo82w="";
  }",63bdb5d90fa2fa11c42f9716ad1e23565613b07c,contains_nix_code
75db06847d30bf45e5247ca43368e06b84e034dd,noxdir,noxdir,noxdir,0.9.0,"fetchFromGitHub {
    owner = ""crumbyte"";
    repo = ""noxdir"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-sy94J+97fxg0t/GTSLzJQMDcQtOCQeo8TCTT8G4p6wY="";
  }",35f590344ff791e6b1d6d6b8f3523467c9217caf,contains_nix_code
6287acfde9bcdfb565287d32a17dd63a30ab033f,bc-mbedtls,linphonePackages.bc-mbedtls,mbedtls,3.6.1-unstable-2025-08-11,"fetchFromGitLab {
    inherit rev;

    domain = ""gitlab.linphone.org"";
    group = ""BC"";
    owner = ""public/external"";
    repo = ""mbedtls"";
    sha256 = ""sha256-jQpRn2F21sPKKAiaqsUvaKyuR80AnedG/hAyiNamKjc="";
    fetchSubmodules = true;
  }",35f590344ff791e6b1d6d6b8f3523467c9217caf,finalAttr typo (should be finalAttrs)
999175c168950edf026630e9cbff92e7d2a81524,xdgcpp,xdgcpp,xdgcpp,0-unstable-2024-05-26,"fetchFromGitHub {
    owner = ""Grumbel"";
    repo = ""xdgcpp"";
    rev = ""e2c40c081e2ee2d315d1d0b3ae5981d5fd77260e"";
    sha256 = ""sha256-eujYRUw8UpDFgEvjHUPsJ/QJN+A+hzcebfgteM9kvXM="";
  }",362791944032cb532aabbeed7887a441496d5e6e,contains_nix_code
173b795a64cd2710a98be5636dc54922e8097ed4,code,code,code,0.2.188,"fetchFromGitHub {
    owner = ""just-every"";
    repo = ""code"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-xUhgA4poybzFehVgVWHKx1ejhncvYAnug2oxLwGNrk0="";
  }",832e3b6db48508ae436c2c7bfc0cf914eac6938e,contains_nix_code
6f4198f4320d58ce04fb30ebfc10a267074c1577,tinycmmc,tinycmmc,tinycmmc,0.1.0-unstable-2025-07-21,"fetchFromGitHub {
    owner = ""Grumbel"";
    repo = ""tinycmmc"";
    rev = ""caf1af301e388e97dca31ee7fdc12f17cff34f82"";
    sha256 = ""sha256-62ykvAIfOCXH+3bF1IkR+WukeJBLcYC/4Mv3ptqAxEM="";
  }",362791944032cb532aabbeed7887a441496d5e6e,contains_nix_code
f655c05f894f7766f230ce46c2cb67b899865ac8,tsidp,tsidp,tsidp,0.0.4,"fetchFromGitHub {
    owner = ""tailscale"";
    repo = ""tsidp"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-u6dQORtB4eNEFLlouuFV5oxedSN1fZ31YkZavfU1F0U="";
  }",e2642aa7d5a15eae586932a56f4294934f959c14,contains_nix_code
6c3c3951fb76343e5f8589db3ab0f82cea1d8f30,synchronizer,ocamlPackages.synchronizer,synchronizer,0.1,"fetchFromGitHub {
    owner = ""OCamlPro"";
    repo = ""synchronizer"";
    tag = version;
    hash = ""sha256-VlKqORXTXafT88GXHIYkz+A1VkEL3jP9SMqDdMyEdrw="";
  }",dc704e6102e76aad573f63b74c742cd96f8f1e6c,contains_nix_code
a0bf33115e5b7044bb93a48ece2b404b4e42ccb0,lacy,lacy,lacy,0.5.1,"fetchFromGitHub {
    owner = ""timothebot"";
    repo = ""lacy"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-blQPIw8Ct+TGRuy+ybYr9rdlfOZdvAbhsB8sfwugS/w="";
  }",ca77296380960cd497a765102eeb1356eb80fed0,contains_nix_code
39dafd799f38996f47927399c22e6be67ba1c3b5,moxnotify,moxnotify,moxnotify,0.1.0,"fetchFromGitHub {
    owner = ""mox-desktop"";
    repo = ""moxnotify"";
    rev = ""6726af08621072e0c95a147cf4ae63ea66c7e857"";
    hash = ""sha256-tTgY/813WaW3K8QKbj6qwCVKOAA8zMqy97Q7Z5qA0JM="";
  }",27ac93958969b5f3dccd654b402599cf3de633ac,contains_nix_code
a7d95643693b71373a3c82a81b85a6d9360f441f,gonzo,gonzo,gonzo,0.2.1,"fetchFromGitHub {
    owner = ""control-theory"";
    repo = ""gonzo"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-P8Ntt8Dj5zq+Ff5MkZEvWabk2w5Cm6tXxl3ssMxDNok="";
  }",0987f8f26d7b889e23a7c533ae6d998b27924899,contains_nix_code
983ae777414d3cbd8ebb08cb8227c8c30747cb9d,redland-wayland,redland-wayland,redland-wayland,0.1.0,"fetchFromGitHub {
    owner = ""domenkozar"";
    repo = ""redland"";
    tag = ""v${version}"";
    hash = ""sha256-iZtRpxloZzneAQ6+5cW0x1E7Qbx/8i9PqkpOHbCZ4Qk="";
  }",9547cfd27b5158eb612a6812dfc5c7b3d118b996,contains_nix_code
85172a306bff0e13b619f0ee759ddcfc01de1c31,mdserve,mdserve,mdserve,0.4.0,"fetchFromGitHub {
    owner = ""jfernandez"";
    repo = ""mdserve"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-OCdWoQzmCvKo8EfLAczBud1FfY3vRMk7mivjhsqE840="";
  }",647e5c14cbd5067f44ac86b74f014962df460840,contains_nix_code
35e9a405b18599d6601c60293a6f1053dcfca974,mbmd,mbmd,mbmd,0.13-unstable-2025-08-08,"fetchFromGitHub {
    inherit rev;
    owner = ""volkszaehler"";
    repo = ""mbmd"";
    hash = ""sha256-HdldLF9+QgaIvGG8lAENvUiPonMwrdHUphGRSmaeRj8="";
  }",ee4cd98afba682ca27242f2d7fdbd8583f6ef51a,finalAttr typo (should be finalAttrs)
ba2472457b0be19d6995395f27a230701d9e0cc0,pwmenu,pwmenu,pwmenu,0.3.0,"fetchFromGitHub {
    owner = ""e-tho"";
    repo = ""pwmenu"";
    tag = ""v${version}"";
    hash = ""sha256-Q02kOMC6oQ3fNyDWW9ztLgMs3wR4cA53/wmkbecTr/o="";
  }",a1f79a1770d05af18111fbbe2a3ab2c42c0f6cd0,contains_nix_code
cd2090d9d12f9b0da4bf814d5166101dda3e038a,radicle-native-ci,radicle-native-ci,radicle-native-ci,0.11.1,"fetchFromRadicle {
    seed = ""seed.radicle.xyz"";
    repo = ""z3qg5TKmN83afz2fj9z3fQjU8vaYE"";
    node = ""z6MkgEMYod7Hxfy9qCvDv5hYHkZ4ciWmLFgfvm3Wn1b2w2FV"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-OjQBq4QopT4dr1/z73fqlGLjQIjUY51/II9m2qQMW1w="";
  }",e57b3b16ad8758fd681511a078f35c416a8cc939,finalAttr typo (should be finalAttrs)
9a70845186c7b335de8e54e1962ab96b7ebe355d,radicle-ci-broker,radicle-ci-broker,radicle-ci-broker,0.21.0,"fetchFromRadicle {
    seed = ""seed.radicle.xyz"";
    repo = ""zwTxygwuz5LDGBq255RA2CbNGrz8"";
    node = ""z6MkgEMYod7Hxfy9qCvDv5hYHkZ4ciWmLFgfvm3Wn1b2w2FV"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-c0Qo6dnR9rP4mLXODkNZp+AnhKS0tqJeh1KgzfHBRV4="";
    leaveDotGit = true;
    postFetch = ''
      git -C $out rev-parse --short HEAD > $out/.git_head
      rm -rf $out/.git
    '';
  }",e57b3b16ad8758fd681511a078f35c416a8cc939,finalAttr typo (should be finalAttrs)
2445df41981877574ef63b423506f13393661321,yaookctl,yaookctl,yaookctl,0-unstable-2025-08-25,"fetchFromGitLab {
    owner = ""yaook"";
    repo = ""yaookctl"";
    rev = ""205fab35f6680d15d86ef3596fe8a12590e3916c"";
    hash = ""sha256-V30581TeBtk/IvqBebsyT2lJ8bp8UkCH4AIy+mnnzCc="";
  }",ad4e6dd68c30bc8bd1860a27bc6f0c485bd7f3b6,contains_nix_code
b2bc74053fbf353d5c45bb788353ff8325e59459,hyprviz,hyprviz,hyprviz,0.6.1,"fetchFromGitHub {
    owner = ""timasoft"";
    repo = ""hyprviz"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-xiAP5Xy30IokRcR25ObXLeM7qKjVXgEv9fQZA2KDxOA="";
  }",098982b6eca9b809cc2f583e733338f5a36b3ad8,contains_nix_code
ef4adebc71f6ac1af296f06a8eede7042c900303,tmuxai,tmuxai,tmuxai,1.1.1,"fetchFromGitHub {
    owner = ""alvinunreal"";
    repo = ""tmuxai"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-L3PFyNkvEHfZ2pZFaurFKwHjhdZ+YBXtN2QuKFvktP4="";
  }",f4b140d5b253f5e2a1ff4e5506edbf8267724bde,contains_nix_code
6e616015251aef27732e4a324f4cdb6fe00f2c03,prisma-language-server,prisma-language-server,prisma-language-server,6.16.2,"fetchFromGitHub {
    owner = ""prisma"";
    repo = ""language-tools"";
    tag = ""${finalAttrs.version}"";
    hash = ""sha256-UZP0pLcbMeaYI0ytOJ68l/ZEC9dBhohJZyTU99p+1QM="";
  }",08b8f92ac6354983f5382124fef6006cade4a1c1,contains_nix_code
d80652857e5376b4edc82186d426f0cd547934e7,gophertube,gophertube,gophertube,2.8.0,"fetchFromGitHub {
    owner = ""KrishnaSSH"";
    repo = ""GopherTube"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-0TStXYghfRR11ETJcK2lnkBtS2IUy/YgeFFn0wXpeOU="";
  }",a595dde4d0d31606e19dcec73db02279db59d201,contains_nix_code
6497c8c0a09a9261a6b29a19a3390d1fb1c18b61,hydrasect,hydrasect,hydrasect,0.1.0-unstable-2025-08-27,"fetchFromGitHub {
    owner = ""blitz"";
    repo = ""hydrasect"";
    rev = ""88161c6d8dce16bf832599cf8ab544bbe5857c00"";
    hash = ""sha256-Na7MlT+OXHZBtCKqJ0IzK4k3XfvQhsY+lnUJFG66YDU="";
  }",a3f75d80983edb6010b08b9e6ce889811129a26c,contains_nix_code
31a558c5f0962c90cb551db4b68f38de033bab0a,gemini-cli-bin,gemini-cli-bin,gemini-cli-bin,0.3.4,"fetchurl {
    url = ""https://github.com/${owner}/${repo}/releases/download/v${finalAttrs.version}/${asset}"";
    hash = ""sha256-aVcizpbzV1hPsuMSGRxgMGXTyF+0yBqGk7EwPnKFDyQ="";
  }",9585e9192aadc13ec3e49f33f8333bd3cda524df,finalAttr typo (should be finalAttrs)
a784a11d3ab7c29473592e5968316c11e3ebd485,dli,dli,dli,0-unstable-2025-09-06,"fetchFromGitHub {
    owner = ""haylinmoore"";
    repo = ""dli"";
    rev = ""176302f80cf771a7a15d9df58c3296a979f18e28"";
    hash = ""sha256-I8ozN5ucBhsArehSQibTLlYavq+4rBRUvU42Cli4KVo="";
  }",ca77296380960cd497a765102eeb1356eb80fed0,contains_nix_code
8c19806822238ff349fe4d7fdedf64b591bffae1,libfrida-core,libfrida-core,libfrida-core,17.2.17,"fetchurl {
    inherit (source) url hash;
  }",aaff8c16d7fc04991cac6245bee1baa31f72b1e1,finalAttr typo (should be finalAttrs)
34e35a0ca6c348bd05bbe5bab3ded066ff576b68,lightway,lightway,lightway,0-unstable-2025-09-04,"fetchFromGitHub {
    owner = ""expressvpn"";
    repo = ""lightway"";
    rev = ""4eb836158607c83d47226703de5a043519586782"";
    hash = ""sha256-sNhTdJTxNxHMVswyzizgBfGbmJhYmMZY/5nVD7ScLjM="";
  }",ca77296380960cd497a765102eeb1356eb80fed0,contains_nix_code
d3410cf27e8970ef21e63a7a72985f4195333101,ee,ee,ee,1.5.2,"fetchgit {
    url = ""https://git.freebsd.org/src.git"";
    tag = ""release/14.3.0"";
    outputHash = ""sha256-nMhHXeoam9VtUuhhi0eoGZfcW9zZhpYQKVYbkAbfgc0="";
    rootDir = ""contrib/ee"";
  }",aaff8c16d7fc04991cac6245bee1baa31f72b1e1,Other error
2255d0e133c7ea0a8e801b77cf02783819666821,mado,mado,mado,0.3.0,"fetchFromGitHub {
    owner = ""akiomik"";
    repo = ""mado"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-wAuV4w0dKfUbJVLTdp59/u4y13SPy3wkRfTlpvyE/zY="";
  }",c6a788f552b7b7af703b1a29802a7233c0067908,contains_nix_code
951fbc91a4fff1eed37d8e3b23f190ac27a13a7a,yaml2nix,yaml2nix,yaml2nix,0.3.0,"fetchFromGitHub {
    owner = ""euank"";
    repo = ""yaml2nix"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-DkHWWpvBco2yodyOk40LjTNcoaJ1bFKf0JY9OwWgy5M="";
  }",58dcbf1ec551914c3756c267b8b9c8c86baa1b2f,contains_nix_code
1b0478e165bfbbc666e4cd60124be35db3881798,angrr,angrr,angrr,0.1.1,"fetchFromGitHub {
    owner = ""linyinfeng"";
    repo = ""angrr"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-SL4UBDoD0pvpCKokQvKLAcS9cQJaFiA+IjswFARswdM="";
  }",58dcbf1ec551914c3756c267b8b9c8c86baa1b2f,contains_nix_code
55024503f61c7363a1ab80824decf75d549d0129,xscreenruler,xscreenruler,xscreenruler,1.0.2,"fetchFromGitHub {
    owner = ""julian-hoch"";
    repo = ""xscreenruler"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-oRbZ8r9EOPcLuuX8VyCBNt6ljdnko/EV8C8aeR85xYU="";
  }",f937f8ecd1c70efd7e9f90ba13dfb400cf559de4,contains_nix_code
c47d779ed356b392c849eb79be02d6c40ae4807c,npingler,npingler,npingler,unstable-2025-08-21,"fetchFromGitHub {
    owner = ""9999years"";
    repo = ""npingler"";
    rev = ""de47bb5c5c188ba3b36958c2284dbc6d24f2687f"";
    hash = ""sha256-4Q8oG2iem9dgsTTEFfhyw2rPAxtXdGx+Uhb/9uAdUy4="";
  }",596312aae91421d6923f18cecce934a7d3bfd6b8,contains_nix_code
ffb190df0e0cc8323cd8c996f9d245c77ea3a56b,e-imzo-manager,e-imzo-manager,e-imzo-manager,0.1.1,"fetchFromGitHub {
    owner = ""xinux-org"";
    repo = ""e-imzo"";
    tag = finalAttrs.version;
    hash = ""sha256-uDaqkz2VDvqTgi+k8EGGKjLkjoH93xXHQcgUc1NVo30="";
  }",a595dde4d0d31606e19dcec73db02279db59d201,contains_nix_code
342d1b05d6832ae3af7e315c360691d662831beb,radicle-tui,radicle-tui,radicle-tui,0.6.0,"fetchgit {
    url = ""https://seed.radicle.xyz/z39mP9rQAaGmERfUMPULfPUi473tY.git"";
    rev = ""refs/namespaces/z6MkswQE8gwZw924amKatxnNCXA55BMupMmRg7LvJuim2C1V/refs/tags/${finalAttrs.version}"";
    hash = ""sha256-rz9l9GtycqZoROUI6Hn0Fv5Br0YCIrcHlEWLMP4hasQ="";
    leaveDotGit = true;
    postFetch = ''
      git -C $out rev-parse HEAD > $out/.git_head
      git -C $out log -1 --pretty=%ct HEAD > $out/.git_time
      rm -rf $out/.git
    '';
  }",09906cab24f49dedbb5b429f8b6c840d4e75b1b7,contains_nix_code
2032eb4942807048cb41377af3f72a188bff51e6,protoletariat,python313Packages.protoletariat,protoletariat,3.3.10,"fetchFromGitHub {
    owner = ""cpcloud"";
    repo = ""protoletariat"";
    tag = version;
    hash = ""sha256-oaZmgen/7WkX+nNuphrcyniL7Z/OaeqlcnbCnqR5h0w="";
  }",641d909c4a7538f1539da9240dedb1755c907e40,contains_nix_code
8115523decfaecb3b692a61f72900a17ff8c159f,powerview,powerview,powerview,2025.1.1,"fetchFromGitHub {
    owner = ""aniqfakhrul"";
    repo = ""powerview.py"";
    tag = version;
    hash = ""sha256-kA7vb3YwUlolEnSJRFi+YZoq4yZsdMG+Snk7zsyOCmQ="";
  }",a683adc19ff5228af548c6539dbc3440509bfed3,contains_nix_code
3b24ca134a58aeb1d483b58d7adee7482bc77cfe,honeyfetch,honeyfetch,honeyfetch,1.5.0,"fetchFromGitLab {
    owner = ""ahoneybun"";
    repo = ""honeyfetch"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-lFp7L3tcqZ1jAL7V7tfUJDPKO2WCvMekUx+p12fNlcM="";
  }",6a489c9482ca676ce23c0bcd7f2e1795383325fa,contains_nix_code
ddbe450f4017084e1eb367a62a2788cc8b6500e8,ld-audit-search-mod,ld-audit-search-mod,ld-audit-search-mod,0-unstable-2025-06-19,"fetchFromGitHub {
    repo = ""ld-audit-search-mod"";
    owner = ""DDoSolitary"";
    rev = ""261f475f154d0f1f0766d6756af9c714eeeb14ea"";
    hash = ""sha256-c6ub+m4ihIE3gh6yHtLfJIVqm12C46wThrBCqp8SOLE="";
    sparseCheckout = [ ""src"" ];
  }",a683adc19ff5228af548c6539dbc3440509bfed3,contains_nix_code
40df29bdec83a4bd02e99f33b1a8b780ebfe5e7b,emmylua-check,emmylua-check,emmylua_check,0.10.0,"fetchFromGitHub {
    owner = ""EmmyLuaLs"";
    repo = ""emmylua-analyzer-rust"";
    tag = finalAttrs.version;
    hash = ""sha256-Fvg3G0C/YECDEWZ4mDC5b8qocWvyDJ9KdLYNtwIu0+I="";
  }",a683adc19ff5228af548c6539dbc3440509bfed3,contains_nix_code
4161d8709a432b0c1a197974298470945e1daf7d,emmylua-ls,emmylua-ls,emmylua_ls,0.10.0,"fetchFromGitHub {
    owner = ""EmmyLuaLs"";
    repo = ""emmylua-analyzer-rust"";
    tag = finalAttrs.version;
    hash = ""sha256-Fvg3G0C/YECDEWZ4mDC5b8qocWvyDJ9KdLYNtwIu0+I="";
  }",a683adc19ff5228af548c6539dbc3440509bfed3,contains_nix_code
0707e2bc3f5ad7aa6d28607fa397042600beab8d,emmylua-doc-cli,emmylua-doc-cli,emmylua_doc_cli,0.10.0,"fetchFromGitHub {
    owner = ""EmmyLuaLs"";
    repo = ""emmylua-analyzer-rust"";
    tag = finalAttrs.version;
    hash = ""sha256-Fvg3G0C/YECDEWZ4mDC5b8qocWvyDJ9KdLYNtwIu0+I="";
  }",a683adc19ff5228af548c6539dbc3440509bfed3,contains_nix_code
0162d1179e0205a17fd7bd70772c76500b537e7b,ip2asn,ip2asn,ip2asn,0.1.2,"fetchFromGitHub {
    owner = ""x123"";
    repo = ""ip2asn"";
    tag = finalAttrs.version;
    hash = ""sha256-2wuxBwllrkPdmmBCt7DPQ38E2k3igAjbICun51bhopY="";
  }",e960e6e1dc689e2b5fe9e3ee824fc12860d9f27c,contains_nix_code
f2af4a5483f3709956bd12909de86753b981469d,tattoy,tattoy,tattoy,0.1.8,"fetchFromGitHub {
    owner = ""tattoy-org"";
    repo = ""tattoy"";
    tag = ""tattoy-v${attrs.version}"";
    hash = ""sha256-44rXygZVbwwC/jOB69iHydsjYr/WeVU4Eky3BPqJzyc="";
  }",94bcd9f5bcc94c0a1451ea873e38dddea7360bdc,finalAttr typo (should be finalAttrs)
26bde9126b414cfc30db9fe666e6336d648f4b7e,mdwatch,mdwatch,mdwatch,0.1.11,"fetchFromGitHub {
    owner = ""santoshxshrestha"";
    repo = ""mdwatch"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-v+QsSPknUAFk+GC8D0wtA8VTcCWeb8DX6inL6WNl8gQ="";
  }",c02d05bcf73fb496c604798c2268ed424a09e73e,contains_nix_code
